Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
American Water Works Association at Berkeley,Not Started,3,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/awwa,LEAD Center Category: Departmental RSO - Advised by Deepak Sharma
Amigos,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Amigos,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Amnesty International,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/amnestyinternational,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Analytics and Optimization Collaborative at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AOC,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Animal Law Society at Berkeley Law [Formerly Boalt Hall Animal Law Society],Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/animallawsociety,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Animal Spirits Writing Group,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/animalspiritswritinggroup,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
ANova,Approved,7,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/anova,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Anthropology in Education Working Group,Not Started,1,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/gaanthropologyineducationworkinggroup,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Anthropology Students Organized for Research and Action,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/agora,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Anthropology Undergraduate Association,Approved,7,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aua,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Anti-Trafficking Coalition at Berkeley,Approved,8,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Anti-TraffickingCoalition,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
API Education and Languages NOW!,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/apieducationandlanguagesnow,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
API Issues Conference Planning Committee,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/apiissuesconferenceplanningcommittee,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
API Senior Weekend Committee,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/apiseniorweekendcommittee,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Arab American Association of Engineers and Architects,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/aaaea,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Arab Student Union,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/arabstudentunion,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Arabic Club,Not Started,4,2,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/ArabicClub,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
ARC Repertory Theatre (ARC Rep),Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/arcrep,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Archer Fund,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/archerfund,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
architecture media (am) journal,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gaarchitecturemediajournal,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Architecture Research Colloquium,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gaarchitectureresearchcolloquium,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Argentine Tango Club of Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/argentinetangoclub,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Ark College Group,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/thearkcollegegroup,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
"Arleigh Williams Society, The",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/arleighwilliamssociety,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Armenian Law Students Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ALSA,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Armenian Student Association,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/armenianstudentsassociation,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Army Color Guard,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/armycolorguard,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Army ROTC,Not Started,2,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/armyrotc,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Army ROTC Cadet Club,Approved,7,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/armyrotccadetclub,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Arnold Air Society,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/arnoldairsociety,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Art and Mind,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/artandmind,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Art For Social Change,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/UCBerkeleyAFSC,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Art of Living,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/artoflivingclub,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Art Practice at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/apb,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Art Student's Union,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/artstudentsunion,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Art Therapy Club,Not Started,1,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/arttherapyclub,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
ArtFocus,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/artfocus,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Artists in Resonance,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/artistsinresonance,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Arts and Innovation Advocates,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/artsandinnovationadvocates,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Arzagank,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/arzagank,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
ASCEND,Approved,10,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ascend,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
"Asha for Education, Berkeley",Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Asha,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Asia Business Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asiabusinessclub,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Asia Pacific Commerce Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asiapacificcommerceassociation,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Asian & Pacific Islander Women’s Circle,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/APIWC,LEAD Center Category: Cultural & Identity/Women Interest RSO - Advised by Alejandro Muro
Asian American and Pacific Islander Health Research Group,Approved,9,5,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/asianamericanandpacificislanderhealthresearchgroup,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Asian American Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/asianamericanassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Asian American Christian Fellowship,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AACF,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Asian American Donor Program (AADP) at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/aadp,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Asian American Law Journal,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AALJ,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Asian American Outreach Services,Denied,5,3,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/asianamericanoutreachservices,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Asian American Performance Festival,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asianamericanperformancefestival,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Asian American Public Leaders,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asianamericanpublicleaders,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Asian Americans Reaching Out to the Community,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asianamericansreachingoutinthecommunity,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Asian Community Wellness Coalition,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asiancommunitywellnesscoalition,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Asian Law Society,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asianlawsociety,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Asian Pacific American Coalition,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/asianpacificamericancoalition,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Asian Pacific American Law Students Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/apalsa,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Asian Pacific American Pre-Law Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AsianPacificAmericanPre-LawAssn,Professional Organization: Advised by Deepak Sharma
Asian Pacific Consulting Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/apca,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
